BMAS_0001_LP,LP
BMAS_0002_LP,LP
BMAS_0003_LP,LP
BMAS_0004_LP,LP
BMAS_0005_LP,LP
BMAS_0006_LP,LP
BMAS_0007_LP,LP
BMAS_0025_LP,LP
BMAS_0026_LP,LP
BMAS_0027_LP,LP
BMAS_0028_LP,LP
BMAS_0046_LP,LP
BMAS_0047_VT,VT
BMAS_0048_LP,LP
BMAS_0053_LP,LP
BMAS_0054_LP,LP
BMAS_0055_VT,VT
BMAS_0056_LP,LP
BMAS_0057_LP,LP
BMAS_0058_LP,LP
BMAS_0059_LP,LP
BMAS_0060_LP,LP
BMAS_0061_LP,LP
BMAS_0062_LP,LP
BMAS_0063_LP,LP
BMAS_0070_LP,LP
BMAS_0071_LP,LP
BMAS_0072_VT,VT
BMAS_0073_LP,LP
BMAS_0074_LP,LP
BMAS_0080_LP,LP
BMAS_0081_LP,LP
BMAS_0082_LP,LP
BMAS_0083_LP,LP
BMAS_0084_LP,LP
BMAS_0093_LP,LP
BMAS_0094_LP,LP
BMAS_0095_LP,LP
BMAS_0096_VT,VT
BMAS_0097_LP,LP
BMAS_0098_LP,LP
BMAS_0099_LP,LP
BMAS_0107_LP,LP
BMAS_0108_LP,LP
BMAS_0109_LP,LP
BMAS_0110_VT,VT
BMAS_0111_LP,LP
BMAS_0112_LP,LP
BMAS_0113_LP,LP
BMAS_0123_LP,LP
BMAS_0124_LP,LP
BMAS_0125_LP,LP
BMAS_0126_LP,LP
BMAS_0127_LP,LP
BMAS_0145_LP,LP
BMAS_0146_LP,LP
BMAS_0147_LP,LP
BMAS_0148_LP,LP
BMAS_0149_LP,LP
BMAS_0163_LP,LP
BMAS_0164_LP,LP
BMAS_0165_LP,LP
BMAS_0166_LP,LP
BMAS_0167_LP,LP
BMAS_0168_VT,VT
BMAS_0169_LP,LP
BMAS_0173_LP,LP
BMAS_0174_VT,VT
BMAS_0175_LP,LP
BMAS_0184_LP,LP
BMAS_0186_VT,VT
BMAS_0187_LP,LP
BMAS_0188_LP,LP
BMAS_0189_VT,VT
BMAS_0196_VT,VT
BMAS_0201_LP,LP
BMAS_0202_VT,VT
BMAS_0203_LP,LP
BMAS_0204_LP,LP
BMAS_0205_LP,LP
BMAS_0206_VT,VT
BMAS_0207_LP,LP
BMAS_0208_LP,LP
BMAS_0209_LP,LP
BMAS_0216_LP,LP
BMAS_0217_LP,LP
BMAS_0222_LP,LP
BMAS_0223_VT,VT
BMAS_0224_LP,LP
BMAS_0234_LP,LP
BMAS_0235_LP,LP
BMAS_0243_LP,LP
BMAS_0244_LP,LP
BMAS_0245_LP,LP
BMAS_0254_LP,LP
BMAS_0255_LP,LP
BMAS_0256_LP,LP
BMAS_0257_LP,LP
BMAS_0268_LP,LP
BMAS_0269_VT,VT
BMAS_0270_LP,LP
BMAS_0271_LP,LP
BMAS_0276_LP,LP
BMAS_0277_LP,LP
BMAS_0278_VT,VT
BMAS_0279_LP,LP
BMAS_0293_LP,LP
BMAS_0294_VT,VT
BMAS_0295_LP,LP
BMAS_0296_LP,LP
BMAS_0297_LP,LP
BMAS_0298_LP,LP
BMAS_0299_LP,LP
BMAS_0300_VT,VT
BMAS_0302_LP,LP
BMAS_0303_VT,VT
BMAS_0304_LP,LP
BMAS_0305_LP,LP
BMAS_0312_LP,LP
BMAS_0313_LP,LP
BMAS_0314_LP,LP
BMAS_0315_LP,LP
BMAS_0316_LP,LP
BMAS_0322_LP,LP
BMAS_0323_LP,LP
BMAS_0324_LP,LP
BMAS_0325_LP,LP
BMAS_0326_LP,LP
BMAS_0327_LP,LP
BMAS_0328_LP,LP
BMAS_0334_LP,LP
BMAS_0335_LP,LP
BMAS_0336_LP,LP
BMAS_0337_LP,LP
BMAS_0338_VT,VT
BMAS_0339_LP,LP
BMAS_0341_LP,LP
BMAS_0342_LP,LP
BMAS_0343_VT,VT
BMAS_0344_LP,LP
BMAS_0345_LP,LP
BMAS_0354_LP,LP
BMAS_0355_VT,VT
BMAS_0356_LP,LP
BMAS_0368_LP,LP
BMAS_0369_LP,LP
BMAS_0375_LP,LP
BMAS_0376_VT,VT
BMAS_0377_VT,VT
BMAS_0378_LP,LP
BMAS_0381_VT,VT
BMAS_0382_LP,LP
BMAS_0385_VT,VT
BMAS_0386_LP,LP
BMAS_0387_VT,VT
BMAS_0390_VT,VT
BMAS_0391_LP,LP
BMAS_0401_LP,LP
BMAS_0402_LP,LP
BMAS_0403_LP,LP
BMAS_0404_LP,LP
BMAS_0405_LP,LP
BMAS_0406_LP,LP
BMAS_0407_LP,LP
BMAS_0414_VT,VT
BMAS_0415_LP,LP
BMAS_0416_LP,LP
BMAS_0417_VT,VT
BMAS_0422_VT,VT
BMAS_0423_LP,LP
BMAS_0429_LP,LP
BMAS_0430_LP,LP
BMAS_0431_VT,VT
BMAS_0432_LP,LP
BMAS_0437_LP,LP
BMAS_0438_LP,LP
BMAS_0439_VT,VT
BMAS_0440_LP,LP
BMAS_0449_LP,LP
BMAS_0454_LP,LP
BMAS_0455_VT,VT
BMAS_0456_LP,LP
BMAS_0466_LP,LP
BMAS_0467_VT,VT
BMAS_0468_LP,LP
BMAS_0473_LP,LP
BMAS_0474_LP,LP
BMAS_0475_VT,VT
BMAS_0476_VT,VT
BMAS_0477_LP,LP
BMAS_0488_LP,LP
BMAS_0489_VT,VT
BMAS_0500_LP,LP
BMAS_0501_LP,LP
BMAS_0503_LP,LP
BMAS_0509_LP,LP
BMAS_0510_LP,LP
BMAS_0511_LP,LP
BMAS_0517_LP,LP
BMAS_0518_LP,LP
BMAS_0530_LP,LP
BMAS_0531_VT,VT
BMAS_0532_LP,LP
BMAS_0547_LP,LP
BMAS_0548_LP,LP
BMAS_0549_LP,LP
BMAS_0557_LP,LP
